,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
57,Kepler-104 b,19.6,3.1,400.785,Kepler-104,852.0,5979.0,1.005,0.094,0,3
58,Kepler-104 c,9.96,3.13,400.785,Kepler-104,668.0,5979.0,1.005,0.153,0,3
59,Kepler-104 d,12.5,3.58,400.785,Kepler-104,515.0,5979.0,1.005,0.257,0,3
60,Kepler-1040 b,4.98,2.08,482.119,Kepler-1040,300.0,5646.0,0.954,0.6559,1,1
61,Kepler-1041 b,8.96,2.94,1485.82,Kepler-1041,644.0,6106.0,0.966,0.1688,0,1
62,Kepler-1042 b,5.43,2.19,659.0,Kepler-1042,574.0,4777.0,0.561,0.0756,0,1
63,Kepler-1043 b,7.04,2.55,903.332,Kepler-1043,532.0,5974.0,0.881,0.2159,0,1
64,Kepler-1044 b,7.61,2.67,1278.96,Kepler-1044,1058.0,6246.0,1.092,0.0741,0,1
65,Kepler-1045 b,7.7,2.69,942.485,Kepler-1045,512.0,5448.0,0.734,0.1616,0,1
66,Kepler-1046 b,3.57,1.71,721.534,Kepler-1046,786.0,5931.0,1.053,0.1167,0,1
67,Kepler-1047 b,5.02,2.09,817.647,Kepler-1047,503.0,5700.0,1.176,0.2939,0,2
68,Kepler-1047 c,0.937,0.99,817.647,Kepler-1047,1309.0,5700.0,1.176,0.0434,0,2
69,Kepler-1048 b,3.22,1.61,556.006,Kepler-1048,619.0,4461.0,0.585,0.059,0,1
70,Kepler-1049 b,0.809,0.95,162.006,Kepler-1049,625.0,3758.0,0.496,0.0349,0,1
71,Kepler-105 b,5.1,4.81,459.223,Kepler-105,1093.0,5779.0,1.087,0.066,0,2
72,Kepler-105 c,4.6,1.31,459.223,Kepler-105,997.0,5779.0,1.087,0.0711,0,2
73,Kepler-1050 b,3.19,1.6,490.488,Kepler-1050,1039.0,5817.0,2.153,0.1313,0,2
74,Kepler-1050 c,2.79,1.48,490.488,Kepler-1050,935.0,5817.0,2.153,0.1622,0,2
75,Kepler-1051 b,11.5,3.4,829.343,Kepler-1051,850.0,6369.0,1.729,0.1891,0,1
76,Kepler-1052 b,8.91,2.93,943.444,Kepler-1052,522.0,5818.0,0.848,0.2046,0,1
77,Kepler-1053 b,0.904,0.98,151.129,Kepler-1053,953.0,4507.0,0.724,0.0315,0,1
