,Planet Name,Planet Mass,Planet Radius,Distance from Earth,Star Name,Equilibrium Temperature,Stellar Temperature,Stellar Radius,Distance from Host Star,Number of Planets in System,Habitability
585,Kepler-143 b,6.39,2.41,809.467,Kepler-143,838.0,5857.0,1.305,0.127,0,2
586,Kepler-143 c,11.3,3.37,809.467,Kepler-143,703.0,5857.0,1.305,0.181,0,2
587,Kepler-1430 b,1.76,1.18,875.523,Kepler-1430,969.0,4811.0,0.634,0.0304,0,1
588,Kepler-1431 b,2.76,1.47,1623.24,Kepler-1431,1064.0,6020.0,1.04,0.0648,0,1
589,Kepler-1432 b,5.56,2.22,2171.87,Kepler-1432,709.0,6338.0,1.091,0.1696,0,1
590,Kepler-1433 b,3.05,1.56,1328.0,Kepler-1433,1226.0,5886.0,1.152,0.0516,0,1
591,Kepler-1434 b,1.41,1.11,775.529,Kepler-1434,1320.0,6231.0,2.062,0.0894,0,1
592,Kepler-1435 b,0.566,0.86,704.211,Kepler-1435,1331.0,6256.0,1.269,0.0546,0,1
593,Kepler-1436 b,2.27,1.31,2530.62,Kepler-1436,1001.0,5808.0,1.385,0.0907,0,1
594,Kepler-1437 b,2.45,1.37,2101.69,Kepler-1437,770.0,5792.0,0.864,0.0951,0,1
595,Kepler-1438 b,0.779,0.94,1154.13,Kepler-1438,1490.0,5624.0,1.248,0.0346,0,1
596,Kepler-1439 b,2.73,1.46,225.393,Kepler-1439,420.0,3675.0,0.398,0.0594,0,1
597,Kepler-144 b,2.33,1.33,384.917,Kepler-144,1253.0,6070.0,1.431,0.066,0,2
598,Kepler-144 c,2.39,1.35,384.917,Kepler-144,1046.0,6070.0,1.431,0.094,0,2
599,Kepler-1440 b,2.13,1.26,1115.35,Kepler-1440,597.0,5675.0,1.292,0.2274,0,1
600,Kepler-1441 b,2.27,1.31,1110.48,Kepler-1441,682.0,5430.0,1.902,0.2346,0,1
601,Kepler-1442 b,14.7,3.93,608.68,Kepler-1442,522.0,6352.0,1.401,0.4039,0,1
602,Kepler-1443 b,0.871,0.97,593.646,Kepler-1443,1602.0,6258.0,1.239,0.0368,0,1
603,Kepler-1444 b,5.39,2.18,319.675,Kepler-1444,581.0,5731.0,1.066,0.2015,0,1
604,Kepler-1445 b,0.84,0.96,506.357,Kepler-1445,987.0,6035.0,1.303,0.0948,0,1
605,Kepler-1446 b,0.477,0.82,152.075,Kepler-1446,1539.0,4872.0,0.726,0.0141,0,1
606,Kepler-1447 b,8.75,2.9,890.296,Kepler-1447,522.0,5541.0,1.295,0.2836,0,1
607,Kepler-1448 b,3.22,1.61,768.903,Kepler-1448,811.0,6075.0,0.969,0.1058,0,1
608,Kepler-1449 b,3.46,1.68,2006.48,Kepler-1449,867.0,6269.0,1.155,0.1176,0,1
609,Kepler-145 b,37.1,2.65,566.85,Kepler-145,873.0,6143.0,1.763,0.1699,0,2
610,Kepler-145 c,79.4,4.32,566.85,Kepler-145,709.0,6143.0,1.763,0.2578,0,2
611,Kepler-1450 b,3.57,1.71,505.829,Kepler-1450,308.0,4406.0,0.603,0.2401,1,1
612,Kepler-1451 b,11.2,3.35,1058.72,Kepler-1451,523.0,5799.0,0.878,0.2101,0,1
613,Kepler-1452 b,7.75,2.7,996.32,Kepler-1452,810.0,6049.0,2.483,0.2697,0,1
614,Kepler-1453 b,7.61,2.67,1196.04,Kepler-1453,503.0,5936.0,0.965,0.262,0,1
615,Kepler-1454 b,4.19,1.88,780.566,Kepler-1454,492.0,5370.0,1.055,0.2447,0,1
616,Kepler-1455 b,5.31,2.16,357.621,Kepler-1455,271.0,3899.0,0.529,0.2149,1,1
617,Kepler-1456 b,1.55,1.14,370.312,Kepler-1456,433.0,4257.0,0.602,0.1132,0,1
618,Kepler-1457 b,4.62,1.99,889.885,Kepler-1457,478.0,5968.0,0.881,0.2668,0,1
619,Kepler-1458 b,8.05,2.76,544.45,Kepler-1458,493.0,5641.0,0.981,0.2495,0,1
620,Kepler-1459 b,2.42,1.36,455.479,Kepler-1459,349.0,4762.0,0.781,0.2829,0,1
621,Kepler-146 b,13.3,3.71,716.797,Kepler-146,639.0,5951.0,1.155,0.2,0,2
622,Kepler-146 c,9.96,3.13,716.797,Kepler-146,473.0,5951.0,1.155,0.364,0,2
623,Kepler-1460 b,4.5,1.96,553.218,Kepler-1460,391.0,4463.0,0.638,0.1614,0,1
624,Kepler-1461 b,4.78,2.03,679.106,Kepler-1461,451.0,4987.0,0.722,0.1715,0,1
625,Kepler-1462 b,14.0,3.82,1017.82,Kepler-1462,390.0,5436.0,0.819,0.3094,0,1
626,Kepler-1463 b,4.12,1.86,1687.47,Kepler-1463,619.0,5973.0,0.935,0.1694,0,1
627,Kepler-1464 b,3.39,1.66,1151.73,Kepler-1464,564.0,5638.0,0.928,0.1803,0,2
628,Kepler-1464 c,0.972,1.0,1151.73,Kepler-1464,1023.0,5638.0,0.928,0.0548,0,2
629,Kepler-1465 b,3.78,1.77,359.497,Kepler-1465,668.0,4774.0,1.954,0.1939,0,1
630,Kepler-1466 b,3.02,1.55,631.949,Kepler-1466,585.0,6086.0,0.921,0.1942,0,1
631,Kepler-1467 b,10.9,3.3,852.888,Kepler-1467,411.0,5288.0,0.74,0.2388,0,1
632,Kepler-1468 b,3.64,1.73,1899.24,Kepler-1468,1093.0,5794.0,1.496,0.0817,0,3
633,Kepler-1468 c,1.6,1.15,1899.24,Kepler-1468,1448.0,5794.0,1.496,0.0466,0,3
634,Kepler-1468 d,11.1,3.332,1899.24,Kepler-1468,819.0,5794.0,1.496,0.1456,0,3
635,Kepler-1469 b,8.25,2.8,1159.3,Kepler-1469,551.0,5383.0,0.789,0.1466,0,1
636,Kepler-147 b,2.96,1.53,1042.02,Kepler-147,953.0,6007.0,1.42,0.113,0,2
637,Kepler-147 c,6.48,2.43,1042.02,Kepler-147,689.0,6007.0,1.42,0.216,0,2
638,Kepler-1470 b,1.24,1.07,590.601,Kepler-1470,574.0,4915.0,0.812,0.116,0,1
639,Kepler-1471 b,2.57,1.41,978.678,Kepler-1471,1238.0,5533.0,1.166,0.0453,0,1
640,Kepler-1472 b,4.27,1.9,1479.14,Kepler-1472,613.0,6370.0,1.106,0.2322,0,1
641,Kepler-1473 b,1.81,1.19,652.253,Kepler-1473,783.0,5929.0,1.04,0.116,0,1
642,Kepler-1474 b,5.31,2.16,1180.9,Kepler-1474,561.0,5566.0,1.099,0.2108,0,1
643,Kepler-1475 b,8.85,2.92,1568.38,Kepler-1475,441.0,6247.0,0.954,0.373,0,1
644,Kepler-1476 b,3.43,1.67,1002.74,Kepler-1476,860.0,5893.0,1.02,0.0932,0,1
645,Kepler-1477 b,1.76,1.18,680.828,Kepler-1477,674.0,5149.0,0.803,0.0911,0,1
646,Kepler-1478 b,3.64,1.73,1845.58,Kepler-1478,598.0,6083.0,0.835,0.1681,0,1
647,Kepler-1479 b,4.01,1.83,728.668,Kepler-1479,746.0,6003.0,0.932,0.1173,0,1
648,Kepler-148 b,3.89,1.8,791.163,Kepler-148,1284.0,5227.0,0.838,0.028,0,3
649,Kepler-148 c,12.6,3.6,791.163,Kepler-148,957.0,5227.0,0.838,0.05,0,3
650,Kepler-148 d,56.3,8.68,791.163,Kepler-148,413.0,5227.0,0.838,0.2607,0,3
651,Kepler-1480 b,3.43,1.67,500.892,Kepler-1480,721.0,5312.0,1.445,0.1525,0,1
652,Kepler-1481 b,2.04,1.23,459.076,Kepler-1481,797.0,4891.0,0.805,0.059,0,1
653,Kepler-1482 b,1.01,1.01,567.556,Kepler-1482,678.0,5413.0,0.82,0.1016,0,1
654,Kepler-1483 b,2.92,1.52,1273.78,Kepler-1483,1131.0,6144.0,1.668,0.0958,0,1
655,Kepler-1484 b,5.1,2.11,2879.83,Kepler-1484,624.0,6283.0,0.984,0.1939,0,1
656,Kepler-1485 b,2.76,1.47,615.66,Kepler-1485,728.0,6047.0,1.092,0.1467,0,1
657,Kepler-1486 b,5.99,2.32,1769.14,Kepler-1486,538.0,5751.0,1.282,0.2846,0,1
658,Kepler-1487 b,5.18,2.13,1014.62,Kepler-1487,1682.0,5745.0,3.955,0.0898,0,1
659,Kepler-1488 b,4.12,1.86,905.825,Kepler-1488,650.0,5710.0,1.524,0.2285,0,2
660,Kepler-1488 c,3.37,1.652,905.825,Kepler-1488,1212.0,5710.0,1.524,0.0658,0,2
661,Kepler-1489 b,3.78,1.77,1283.05,Kepler-1489,400.0,5626.0,0.957,0.3679,0,1
662,Kepler-149 b,16.5,4.21,571.034,Kepler-149,540.0,5376.0,0.94,0.184,0,3
663,Kepler-149 c,3.22,1.61,571.034,Kepler-149,436.0,5376.0,0.94,0.281,0,3
664,Kepler-149 d,14.9,3.96,571.034,Kepler-149,306.0,5376.0,0.94,0.571,0,3
665,Kepler-1490 b,9.48,3.04,862.92,Kepler-1490,348.0,5595.0,0.741,0.3729,0,1
666,Kepler-1491 b,2.89,1.51,2065.59,Kepler-1491,821.0,5626.0,1.389,0.127,0,1
667,Kepler-1492 b,2.83,1.49,331.553,Kepler-1492,801.0,4807.0,1.802,0.1262,0,1
668,Kepler-1493 b,2.57,1.41,555.051,Kepler-1493,874.0,5831.0,1.382,0.1197,0,1
669,Kepler-1494 b,9.64,3.07,1285.48,Kepler-1494,415.0,5915.0,1.008,0.3982,0,1
670,Kepler-1495 b,8.96,2.94,1355.54,Kepler-1495,443.0,5922.0,1.057,0.3677,0,1
671,Kepler-1496 b,5.56,2.22,1307.66,Kepler-1496,535.0,5821.0,1.395,0.3211,0,1
672,Kepler-1497 b,3.39,1.66,1122.0,Kepler-1497,924.0,5596.0,1.145,0.0817,0,1
673,Kepler-1498 b,2.33,1.33,740.0,Kepler-1498,564.0,5332.0,1.453,0.2528,0,1
674,Kepler-1499 b,1.81,1.19,309.869,Kepler-1499,409.0,5002.0,0.753,0.2196,0,1
675,Kepler-15 b,209.76,10.76,739.412,Kepler-15,1008.0,5514.0,0.978,0.05714,0,1
676,Kepler-150 b,2.1,1.25,891.092,Kepler-150,1131.0,5559.0,0.914,0.044,0,4
677,Kepler-150 c,13.2,3.69,891.092,Kepler-150,876.0,5559.0,0.914,0.073,0,4
678,Kepler-150 d,8.2,2.79,891.092,Kepler-150,734.0,5559.0,0.914,0.104,0,4
679,Kepler-150 e,9.91,3.12,891.092,Kepler-150,544.0,5559.0,0.914,0.189,0,4
680,Kepler-1500 b,1.87,1.2,1217.82,Kepler-1500,928.0,5849.0,1.601,0.1236,0,1
681,Kepler-1501 b,3.05,1.56,749.06,Kepler-1501,787.0,6065.0,1.061,0.1228,0,1
682,Kepler-1502 b,10.2,3.18,1514.02,Kepler-1502,608.0,6434.0,1.138,0.2482,0,1
683,Kepler-1503 b,5.77,2.27,1225.57,Kepler-1503,321.0,5340.0,0.702,0.3771,1,1
684,Kepler-1504 b,5.18,2.13,2435.94,Kepler-1504,485.0,5602.0,1.425,0.3704,0,1
685,Kepler-1505 b,0.749,0.93,495.148,Kepler-1505,525.0,5627.0,0.833,0.1862,0,1
686,Kepler-1506 b,2.3,1.32,2366.02,Kepler-1506,783.0,6063.0,1.001,0.1168,0,1
687,Kepler-1507 b,0.52,0.84,320.478,Kepler-1507,630.0,5428.0,0.853,0.1234,0,1
688,Kepler-1508 b,2.33,1.33,1260.28,Kepler-1508,967.0,5668.0,2.437,0.1629,0,1
689,Kepler-1509 b,4.08,1.85,2002.96,Kepler-1509,667.0,5806.0,1.158,0.1707,0,1
690,Kepler-151 b,9.59,3.06,649.919,Kepler-151,639.0,5456.0,0.812,0.116,0,2
691,Kepler-151 c,5.02,2.09,649.919,Kepler-151,544.0,5456.0,0.812,0.16,0,2
692,Kepler-1510 b,11.2,3.36,1696.25,Kepler-1510,537.0,6085.0,1.634,0.4089,0,1
693,Kepler-1511 b,3.46,1.68,1475.6,Kepler-1511,903.0,6602.0,1.685,0.1753,0,1
694,Kepler-1512 b,1.76,1.18,162.0,Kepler-1512,276.0,3419.0,0.344,0.1097,2,1
695,Kepler-1513 b,53.9,8.46,349.247,Kepler-1513,346.0,5650.0,1.044,0.5416,0,1
696,Kepler-1514 b,1678.1424,12.42,397.292,Kepler-1514,343.0,6259.0,1.167,0.753,0,2
697,Kepler-1514 c,1.74,1.176,397.292,Kepler-1514,943.0,6259.0,1.167,0.0997,0,2
698,Kepler-1515 b,66.2,9.55,539.321,Kepler-1515,380.0,6471.0,1.357,0.7655,0,1
699,Kepler-1516 b,3.71,1.75,1358.95,Kepler-1516,967.0,5914.0,0.987,0.0718,0,1
700,Kepler-1517 b,68.7,9.76,847.299,Kepler-1517,2336.0,7358.0,4.037,0.078,0,1
701,Kepler-1518 b,9.53,3.05,903.51,Kepler-1518,1351.0,6432.0,1.345,0.0593,0,1
702,Kepler-1519 b,39.6,7.06,1441.63,Kepler-1519,342.0,5758.0,1.385,0.7655,0,1
703,Kepler-152 b,8.2,2.79,441.09,Kepler-152,551.0,5176.0,0.738,0.124,0,2
704,Kepler-152 c,6.3,2.39,441.09,Kepler-152,326.0,5176.0,0.738,0.356,1,2
705,Kepler-1520 b,28.1,5.77,607.917,Kepler-1520,1437.0,4550.0,0.66,0.0129,0,1
706,Kepler-1521 b,6.8,2.5,206.983,Kepler-1521,391.0,4975.0,0.734,0.2317,0,1
707,Kepler-1522 b,3.64,1.73,814.125,Kepler-1522,1374.0,5763.0,0.842,0.0288,0,1
708,Kepler-1523 b,3.12,1.58,865.596,Kepler-1523,1676.0,5497.0,0.886,0.0185,0,1
709,Kepler-1524 b,12.3,3.54,381.773,Kepler-1524,438.0,5818.0,0.986,0.3392,0,1
710,Kepler-1525 b,0.693,0.91,382.989,Kepler-1525,1343.0,5705.0,1.026,0.036,0,1
711,Kepler-1526 b,6.48,2.43,555.574,Kepler-1526,787.0,4518.0,0.653,0.0418,0,1
712,Kepler-1527 b,20.4,4.77,1842.13,Kepler-1527,450.0,6092.0,1.759,0.6276,0,1
713,Kepler-1528 b,2.73,1.46,817.534,Kepler-1528,1549.0,6040.0,0.999,0.0296,0,1
714,Kepler-1529 b,5.06,2.1,661.014,Kepler-1529,817.0,5057.0,0.704,0.0525,0,1
715,Kepler-153 b,8.85,2.92,459.368,Kepler-153,621.0,5402.0,0.865,0.129,0,2
716,Kepler-153 c,6.94,2.53,459.368,Kepler-153,458.0,5402.0,0.865,0.237,0,2
717,Kepler-1530 b,3.33,1.64,489.876,Kepler-1530,1484.0,5678.0,1.303,0.0371,0,3
718,Kepler-1530 c,3.36,1.65,489.876,Kepler-1530,1167.0,5678.0,1.303,0.06,0,3
719,Kepler-1530 d,10.8,3.279,489.876,Kepler-1530,972.0,5678.0,1.303,0.0865,0,3
720,Kepler-1531 b,1.41,1.11,666.334,Kepler-1531,2537.0,6520.0,1.713,0.022,0,1
721,Kepler-1532 b,2.39,1.35,798.246,Kepler-1532,1681.0,5845.0,0.874,0.0206,0,1
722,Kepler-1533 b,11.8,3.46,966.801,Kepler-1533,330.0,6325.0,1.349,0.9625,0,1
723,Kepler-1534 b,4.23,1.89,1107.0,Kepler-1534,955.0,5638.0,0.883,0.0599,0,1
724,Kepler-1535 b,7.04,2.55,897.733,Kepler-1535,384.0,6014.0,1.115,0.5329,0,1
725,Kepler-1536 b,10.0,3.14,387.248,Kepler-1536,166.0,4386.0,0.63,0.8507,0,1
726,Kepler-1537 b,1.76,1.18,517.292,Kepler-1537,1800.0,5305.0,1.449,0.0245,0,1
727,Kepler-1538 b,8.35,2.82,1125.3,Kepler-1538,346.0,5497.0,1.241,0.6095,0,1
728,Kepler-1539 b,7.75,2.7,748.326,Kepler-1539,301.0,5064.0,0.864,0.4765,0,1
729,Kepler-154 b,5.73,2.26,915.212,Kepler-154,561.0,5688.0,0.971,0.198,0,5
730,Kepler-154 c,9.01,2.95,915.212,Kepler-154,454.0,5688.0,0.971,0.303,0,5
731,Kepler-154 d,14.1,3.84,915.212,Kepler-154,657.0,5688.0,0.971,0.1415,0,5
732,Kepler-154 e,2.86,1.5,915.212,Kepler-154,1140.0,5688.0,0.971,0.047,0,5
733,Kepler-154 f,2.86,1.5,915.212,Kepler-154,838.0,5688.0,0.971,0.0871,0,5
734,Kepler-1540 b,6.76,2.49,244.96,Kepler-1540,266.0,4641.0,0.747,0.4426,1,1
735,Kepler-1541 b,1.65,1.16,416.692,Kepler-1541,1048.0,5365.0,1.533,0.0781,0,1
736,Kepler-1542 b,0.363,0.76,399.114,Kepler-1542,1160.0,5574.0,1.065,0.0479,0,4
737,Kepler-1542 c,0.208,0.65,399.114,Kepler-1542,1287.0,5574.0,1.065,0.0389,0,4
738,Kepler-1542 d,0.59,0.87,399.114,Kepler-1542,1010.0,5574.0,1.065,0.0632,0,4
739,Kepler-1542 e,0.363,0.76,399.114,Kepler-1542,1065.0,5574.0,1.065,0.0567,0,4
740,Kepler-1543 b,7.8,2.71,921.784,Kepler-1543,1774.0,6303.0,3.53,0.0867,0,1
741,Kepler-1544 b,3.82,1.78,335.09,Kepler-1544,241.0,4798.0,0.707,0.5421,1,1
742,Kepler-1545 b,7.75,2.7,729.964,Kepler-1545,274.0,4999.0,0.843,0.5442,0,1
743,Kepler-1546 b,9.96,3.13,931.956,Kepler-1546,671.0,5569.0,1.019,0.1366,0,1
744,Kepler-1547 b,0.666,0.9,674.695,Kepler-1547,3186.0,6105.0,2.304,0.0165,0,1
745,Kepler-1548 b,7.46,2.64,872.279,Kepler-1548,350.0,5349.0,1.032,0.4679,0,1
746,Kepler-1549 b,7.13,2.57,803.052,Kepler-1549,286.0,5323.0,0.995,0.6687,0,1
747,Kepler-155 b,5.02,2.09,293.499,Kepler-155,562.0,3984.0,0.539,0.056,0,2
748,Kepler-155 c,5.65,2.24,293.499,Kepler-155,271.0,3984.0,0.539,0.242,1,2
749,Kepler-1550 b,9.38,3.02,1179.01,Kepler-1550,348.0,5929.0,1.363,0.7681,0,1
750,Kepler-1551 b,7.56,2.66,1463.72,Kepler-1551,722.0,6392.0,1.162,0.1772,0,1
751,Kepler-1552 b,6.66,2.47,769.096,Kepler-1552,268.0,5273.0,0.801,0.6045,1,1
752,Kepler-1553 b,1.6,1.15,692.594,Kepler-1553,926.0,5072.0,0.825,0.0481,0,1
753,Kepler-1554 b,8.75,2.9,946.847,Kepler-1554,288.0,5275.0,0.969,0.6314,0,1
754,Kepler-1555 b,3.22,1.61,2013.27,Kepler-1555,959.0,6201.0,0.989,0.0805,0,1
755,Kepler-1556 b,4.5,1.96,944.54,Kepler-1556,797.0,5550.0,0.878,0.0829,0,1
756,Kepler-1557 b,2.96,1.53,1380.16,Kepler-1557,1287.0,6260.0,1.063,0.049,0,1
757,Kepler-1558 b,0.244,0.68,325.737,Kepler-1558,1019.0,5115.0,0.854,0.0419,0,1
758,Kepler-1559 b,0.299,0.72,614.827,Kepler-1559,1609.0,5196.0,0.889,0.018,0,1
759,Kepler-156 b,5.9,2.3,443.483,Kepler-156,867.0,5097.0,0.797,0.054,0,2
760,Kepler-156 c,7.04,2.55,443.483,Kepler-156,588.0,5097.0,0.797,0.117,0,2
761,Kepler-1560 b,0.64,0.89,502.497,Kepler-1560,1269.0,5755.0,0.993,0.0397,0,1
762,Kepler-1561 b,1.32,1.09,839.076,Kepler-1561,1682.0,5718.0,0.863,0.0194,0,1
763,Kepler-1562 b,12.3,3.55,2060.72,Kepler-1562,554.0,6341.0,1.299,0.3308,0,1
764,Kepler-1563 b,0.347,0.75,616.697,Kepler-1563,1134.0,5757.0,0.881,0.0442,0,1
765,Kepler-1564 b,2.76,1.47,908.805,Kepler-1564,635.0,5505.0,0.909,0.1327,0,1
766,Kepler-1565 b,1.81,1.19,629.93,Kepler-1565,1234.0,5107.0,0.723,0.0241,0,1
767,Kepler-1566 b,0.418,0.79,466.586,Kepler-1566,1871.0,5102.0,0.837,0.0121,0,1
768,Kepler-1567 b,7.9,2.73,1206.11,Kepler-1567,330.0,5858.0,0.903,0.552,0,1
769,Kepler-1568 b,2.24,1.3,916.313,Kepler-1568,729.0,5821.0,1.21,0.1499,0,1
770,Kepler-1569 b,3.46,1.68,945.454,Kepler-1569,1222.0,6174.0,1.318,0.0654,0,1
771,Kepler-157 b,2.3,1.32,773.713,Kepler-157,1546.0,5767.0,1.014,0.028,0,3
772,Kepler-157 c,5.65,2.24,773.713,Kepler-157,779.0,5767.0,1.014,0.11,0,3
773,Kepler-157 d,2.73,1.46,773.713,Kepler-157,969.0,5767.0,1.014,0.0698,0,3
774,Kepler-1570 b,1.24,1.07,918.995,Kepler-1570,836.0,5456.0,2.154,0.1784,0,1
775,Kepler-1571 b,2.92,1.52,675.303,Kepler-1571,1476.0,5718.0,1.48,0.0432,0,1
776,Kepler-1572 b,0.779,0.94,946.602,Kepler-1572,1293.0,6157.0,1.392,0.0614,0,1
777,Kepler-1573 b,1.87,1.2,1455.36,Kepler-1573,1379.0,6088.0,0.958,0.0364,0,1
778,Kepler-1574 b,2.21,1.29,1384.16,Kepler-1574,1003.0,6108.0,1.03,0.0743,0,1
779,Kepler-1575 b,2.27,1.31,1246.92,Kepler-1575,1312.0,5970.0,0.908,0.0366,0,1
780,Kepler-1576 b,1.12,1.04,460.91,Kepler-1576,1059.0,5839.0,1.227,0.0726,0,1
781,Kepler-1577 b,1.51,1.13,510.029,Kepler-1577,1125.0,4934.0,1.756,0.0657,0,1
782,Kepler-1578 b,1.12,1.04,1064.05,Kepler-1578,1700.0,6046.0,1.023,0.0252,0,1
783,Kepler-1579 b,0.52,0.84,466.0,Kepler-1579,1139.0,4296.0,0.505,0.014,0,1
784,Kepler-158 b,5.14,2.12,315.177,Kepler-158,500.0,4621.0,0.668,0.111,0,2
785,Kepler-158 c,4.27,1.9,315.177,Kepler-158,418.0,4621.0,0.668,0.158,0,2
786,Kepler-1580 b,5.1,2.11,1002.02,Kepler-1580,733.0,6237.0,2.295,0.323,0,1
787,Kepler-1581 b,0.437,0.8,493.175,Kepler-1581,1108.0,5888.0,1.227,0.0674,0,1
788,Kepler-1582 b,2.83,1.49,78.8906,Kepler-1582,354.0,3187.0,0.2,0.0316,0,1
789,Kepler-1583 b,0.156,0.6,403.933,Kepler-1583,788.0,5525.0,0.888,0.085,0,1
790,Kepler-1584 b,3.22,1.61,1416.31,Kepler-1584,886.0,6401.0,1.15,0.1168,0,1
791,Kepler-1585 b,3.86,1.79,944.465,Kepler-1585,1064.0,5448.0,0.872,0.0445,0,1
792,Kepler-1586 b,2.92,1.52,552.55,Kepler-1586,1013.0,6254.0,1.706,0.1266,0,1
793,Kepler-1587 b,2.33,1.33,1026.48,Kepler-1587,981.0,5855.0,1.268,0.0878,0,1
794,Kepler-1588 b,0.363,0.76,924.141,Kepler-1588,925.0,5678.0,0.99,0.0726,0,1
795,Kepler-1589 b,1.32,1.09,1513.14,Kepler-1589,2102.0,6117.0,1.244,0.0205,0,1
796,Kepler-159 b,6.26,2.38,373.744,Kepler-159,447.0,3893.0,0.5,0.082,0,2
797,Kepler-159 c,11.5,3.41,373.744,Kepler-159,275.0,3893.0,0.5,0.218,0,2
798,Kepler-1590 b,1.55,1.14,771.152,Kepler-1590,1020.0,6202.0,1.072,0.0772,0,1
799,Kepler-1591 b,2.15,1.27,1419.58,Kepler-1591,892.0,5984.0,0.906,0.0794,0,1
800,Kepler-1592 b,2.99,1.54,1639.47,Kepler-1592,1202.0,6021.0,0.819,0.04,0,1
801,Kepler-1593 b,10.2,3.17,638.249,Kepler-1593,186.0,4367.0,0.452,0.546,0,1
802,Kepler-1594 b,1.2,1.06,976.868,Kepler-1594,1360.0,6011.0,1.041,0.0396,0,1
803,Kepler-1595 b,2.04,1.23,845.022,Kepler-1595,980.0,5408.0,0.861,0.051,0,1
804,Kepler-1596 b,4.27,1.9,2146.23,Kepler-1596,471.0,6143.0,0.976,0.3237,0,1
805,Kepler-1597 b,1.2,1.06,1221.05,Kepler-1597,1497.0,6481.0,1.171,0.0427,0,1
806,Kepler-1598 b,0.809,0.95,619.862,Kepler-1598,1236.0,6164.0,1.09,0.0527,0,1
807,Kepler-1599 b,3.26,1.62,1328.2,Kepler-1599,407.0,5998.0,1.139,0.4823,0,1
808,Kepler-160 b,3.59,1.715,937.013,Kepler-160,1134.0,5541.0,1.089,0.05511,0,2
809,Kepler-160 c,13.6,3.76,937.013,Kepler-160,771.0,5541.0,1.089,0.1192,0,2
810,Kepler-1600 b,9.96,3.13,1030.81,Kepler-1600,209.0,5119.0,0.834,0.9712,0,2
811,Kepler-1600 c,4.43,1.942,1030.81,Kepler-1600,786.0,5119.0,0.834,0.0689,0,2
812,Kepler-1601 b,0.477,0.82,644.456,Kepler-1601,1507.0,5991.0,1.092,0.0336,0,1
813,Kepler-1602 b,2.36,1.34,629.804,Kepler-1602,1159.0,6292.0,1.873,0.1074,0,1
814,Kepler-1603 b,2.21,1.29,2712.58,Kepler-1603,1522.0,6274.0,1.062,0.0351,0,1
815,Kepler-1604 b,2.57,1.41,541.189,Kepler-1604,2023.0,5016.0,0.747,0.0089,0,1
816,Kepler-1605 b,1.28,1.08,546.23,Kepler-1605,528.0,5037.0,2.213,0.3912,0,1
817,Kepler-1606 b,4.94,2.07,831.287,Kepler-1606,292.0,5462.0,0.946,0.6421,1,1
818,Kepler-1607 b,0.721,0.92,1286.1,Kepler-1607,913.0,5771.0,1.382,0.1075,0,1
819,Kepler-1608 b,3.64,1.73,832.0,Kepler-1608,612.0,5364.0,0.754,0.1126,0,1
820,Kepler-1609 b,5.56,2.22,1826.04,Kepler-1609,429.0,5802.0,1.316,0.4679,0,1
821,Kepler-161 b,12.1,2.12,434.632,Kepler-161,868.0,5076.0,0.799,0.054,0,2
822,Kepler-161 c,11.8,2.05,434.632,Kepler-161,769.0,5076.0,0.799,0.068,0,2
823,Kepler-1610 b,3.22,1.61,864.331,Kepler-1610,750.0,5295.0,0.8,0.0777,0,1
824,Kepler-1611 b,0.457,0.81,908.444,Kepler-1611,1243.0,5578.0,1.497,0.0586,0,1
825,Kepler-1612 b,1.08,1.03,764.726,Kepler-1612,1030.0,5500.0,0.87,0.0482,0,1
826,Kepler-1613 b,4.98,2.08,1508.33,Kepler-1613,1926.0,6302.0,1.269,0.0264,0,1
827,Kepler-1614 b,2.83,1.49,1191.19,Kepler-1614,981.0,5376.0,0.806,0.0471,0,1
828,Kepler-1615 b,4.9,2.06,1393.83,Kepler-1615,658.0,5749.0,1.876,0.2788,0,1
829,Kepler-1616 b,1.04,1.02,1137.81,Kepler-1616,1337.0,6547.0,1.63,0.0761,0,1
830,Kepler-1617 b,1.87,1.2,898.31,Kepler-1617,736.0,5432.0,1.707,0.181,0,1
831,Kepler-1618 b,2.13,1.26,1229.25,Kepler-1618,1267.0,6720.0,1.289,0.0706,0,1
832,Kepler-1619 b,0.363,0.76,734.85,Kepler-1619,797.0,6144.0,1.393,0.1611,0,1
833,Kepler-162 b,2.13,1.26,855.641,Kepler-162,961.0,5815.0,0.954,0.069,0,2
834,Kepler-162 c,9.43,3.03,855.641,Kepler-162,681.0,5815.0,0.954,0.137,0,2
835,Kepler-1620 b,3.22,1.61,895.069,Kepler-1620,428.0,6210.0,1.054,0.4322,0,1
836,Kepler-1621 b,5.31,2.16,1631.66,Kepler-1621,469.0,6084.0,1.283,0.4204,0,1
837,Kepler-1622 b,2.76,1.47,796.477,Kepler-1622,922.0,6025.0,1.196,0.0994,0,1
838,Kepler-1623 b,2.27,1.31,837.481,Kepler-1623,1000.0,5520.0,0.873,0.0518,0,1
839,Kepler-1624 b,27.6,5.7,258.979,Kepler-1624,540.0,3386.0,0.427,0.0327,0,1
840,Kepler-1625 b,30.6,6.06,2310.11,Kepler-1625,350.0,5548.0,1.793,0.8748,0,1
841,Kepler-1626 b,4.74,2.02,1368.83,Kepler-1626,1352.0,6535.0,1.181,0.0537,0,1
